file,collection,kind,slug,route,locale,title,words,tables,mdLinks,quickAnswer,properties,dataPoints,faqs,checklist,source,sourceUrl,relatedEntityCount,rendered
src\content\core\industries\medical-device.md,industries,Industry,medical-device,/industries/medical-device/,en,medical-device,120,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\industries\oil-and-gas.md,industries,Industry,oil-and-gas,/industries/oil-and-gas/,en,oil-and-gas,98,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\industries\semiconductor-manufacturing.md,industries,Industry,semiconductor-manufacturing,/industries/semiconductor-manufacturing/,en,semiconductor-manufacturing,100,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\ams-4911.md,standards,Standard,ams-4911,/standards/ams-4911/,en,ams-4911,72,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\ams-4928.md,standards,Standard,ams-4928,/standards/ams-4928/,en,ams-4928,98,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\ams-4965.md,standards,Standard,ams-4965,/standards/ams-4965/,en,ams-4965,72,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\as9100d.md,standards,Standard,as9100d,/standards/as9100d/,en,AS9100D — Aerospace Quality Management System,493,1,0,true,false,false,false,false,false,false,7,YES
src\content\core\standards\astm-b265.md,standards,Standard,astm-b265,/standards/astm-b265/,en,"ASTM B265 — Titanium Sheet, Strip, and Plate Standard",495,1,0,true,false,false,false,false,false,false,7,YES
src\content\core\standards\astm-b348.md,standards,Standard,astm-b348,/standards/astm-b348/,en,ASTM B348 — Titanium Bars and Billets Standard,460,1,0,true,false,false,false,false,false,false,9,YES
src\content\core\standards\astm-b381.md,standards,Standard,astm-b381,/standards/astm-b381/,en,astm-b381,105,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\astm-f136.md,standards,Standard,astm-f136,/standards/astm-f136/,en,ASTM F136 — Wrought Ti-6Al-4V ELI for Medical Implants,517,1,0,true,false,false,false,false,false,false,3,YES
src\content\core\standards\astm-f2066.md,standards,Standard,astm-f2066,/standards/astm-f2066/,en,astm-f2066,79,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\iso-13485.md,standards,Standard,iso-13485,/standards/iso-13485/,en,ISO 13485 — Medical Device Quality Management System,546,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\standards\iso-9001.md,standards,Standard,iso-9001,/standards/iso-9001/,en,iso-9001,73,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\standards\nadcap.md,standards,Standard,nadcap,/standards/nadcap/,en,nadcap,80,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\bead-blasting.md,surfaceFinishes,Finish,bead-blasting,/finishes/bead-blasting/,en,bead-blasting,155,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\chemical-etching.md,surfaceFinishes,Finish,chemical-etching,/finishes/chemical-etching/,en,chemical-etching,127,0,0,true,false,false,false,false,false,false,0,YES
