file,collection,slug,quickAnswer,tables,faqs,source,words,score
src\content\core\heat-treatment\grade-guide.md,heatTreatment,grade-guide,1,1,0,0,56,55
src\content\core\heat-treatment\overview.md,heatTreatment,overview,1,1,0,0,70,55
src\content\core\heat-treatment\solution-treatment-aging.md,heatTreatment,solution-treatment-aging,1,1,0,0,58,55
src\content\core\heat-treatment\stress-relief.md,heatTreatment,stress-relief,1,1,0,0,40,55
src\content\core\corrosion\acid-resistance.md,corrosion,acid-resistance,1,1,0,0,48,55
src\content\core\corrosion\chloride-scc.md,corrosion,chloride-scc,1,0,0,0,38,40
src\content\core\corrosion\galvanic.md,corrosion,galvanic,1,1,0,0,34,55
src\content\core\corrosion\overview.md,corrosion,overview,1,1,0,0,48,55
src\content\core\corrosion\prevention.md,corrosion,prevention,1,1,0,0,31,55
src\content\core\corrosion\seawater.md,corrosion,seawater,1,1,0,0,38,55
src\content\derived\evidence\5-axis-machining-data.md,evidence,5-axis-machining-data,0,1,0,0,87,35
src\content\derived\evidence\5-axis-tolerances.md,evidence,5-axis-tolerances,1,1,1,1,219,90
src\content\derived\evidence\bead-blasting-surface-roughness.md,evidence,bead-blasting-surface-roughness,1,1,1,1,201,90
src\content\derived\evidence\cnc-turning-parameters.md,evidence,cnc-turning-parameters,0,1,0,0,91,35
src\content\derived\evidence\dmls-parameters.md,evidence,dmls-parameters,0,1,0,0,92,35
src\content\derived\evidence\grade-1-properties.md,evidence,grade-1-properties,0,1,0,0,59,35
src\content\derived\evidence\grade-12-properties.md,evidence,grade-12-properties,0,1,0,0,46,35
src\content\derived\evidence\grade-2-properties.md,evidence,grade-2-properties,0,1,0,0,94,35
src\content\derived\evidence\grade-23-material-properties.md,evidence,grade-23-material-properties,1,1,1,1,213,90
src\content\derived\evidence\grade-3-properties.md,evidence,grade-3-properties,0,1,0,0,50,35
src\content\derived\evidence\grade-4-properties.md,evidence,grade-4-properties,0,1,0,0,50,35
src\content\derived\evidence\grade-5-milling-parameters.md,evidence,grade-5-milling-parameters,1,1,1,1,199,90
src\content\derived\evidence\grade-5-milling-roughing-data.md,evidence,grade-5-milling-roughing-data,0,1,0,0,75,35
src\content\derived\evidence\grade-5-turning-parameters.md,evidence,grade-5-turning-parameters,0,1,0,0,82,35
src\content\derived\evidence\grade-7-properties.md,evidence,grade-7-properties,0,1,0,0,47,35
src\content\derived\evidence\grade-9-properties.md,evidence,grade-9-properties,0,1,0,0,70,35
src\content\derived\evidence\machining-tolerances.md,evidence,machining-tolerances,0,1,0,0,127,35
src\content\derived\evidence\surface-finish-comparison.md,evidence,surface-finish-comparison,0,1,0,0,103,35
src\content\derived\evidence\ti-10-2-3-properties.md,evidence,ti-10-2-3-properties,0,1,0,0,50,35
src\content\derived\evidence\ti-6al-4v-hardness-data.md,evidence,ti-6al-4v-hardness-data,0,1,0,0,81,35
src\content\derived\evidence\ti-6al-4v-material-properties.md,evidence,ti-6al-4v-material-properties,1,1,1,1,325,95
src\content\derived\evidence\titanium-anodizing-properties.md,evidence,titanium-anodizing-properties,0,1,0,0,98,35
src\content\derived\evidence\titanium-corrosion-data.md,evidence,titanium-corrosion-data,0,1,0,0,82,35
src\content\derived\evidence\titanium-cost-data.md,evidence,titanium-cost-data,0,1,0,0,109,35
src\content\derived\evidence\titanium-drilling-data.md,evidence,titanium-drilling-data,0,1,0,0,111,35
src\content\derived\evidence\titanium-fatigue-data.md,evidence,titanium-fatigue-data,0,1,0,0,87,35
src\content\derived\evidence\titanium-inspection-data.md,evidence,titanium-inspection-data,0,1,0,0,109,35
src\content\derived\evidence\titanium-surface-roughness-standards.md,evidence,titanium-surface-roughness-standards,0,1,0,0,74,35
src\content\derived\evidence\titanium-welding-data.md,evidence,titanium-welding-data,0,1,0,0,148,35
src\content\derived\evidence\wire-edm-parameters.md,evidence,wire-edm-parameters,0,1,0,0,113,35
src\content\derived\comparisons\5-axis-vs-3-axis-machining.md,comparisons,5-axis-vs-3-axis-machining,0,1,0,0,95,35
src\content\derived\comparisons\anodizing-vs-passivation.md,comparisons,anodizing-vs-passivation,0,1,0,0,84,35
src\content\derived\comparisons\cnc-machining-vs-dmls.md,comparisons,cnc-machining-vs-dmls,1,1,1,0,398,75
src\content\derived\comparisons\cp-titanium-vs-alloy-titanium.md,comparisons,cp-titanium-vs-alloy-titanium,0,1,0,0,82,35
src\content\derived\comparisons\grade-2-vs-grade-5.md,comparisons,grade-2-vs-grade-5,1,1,0,0,157,55
src\content\derived\comparisons\grade-2-vs-grade-9.md,comparisons,grade-2-vs-grade-9,0,1,0,0,87,35
src\content\derived\comparisons\grade-5-vs-grade-23.md,comparisons,grade-5-vs-grade-23,1,1,1,0,486,75
src\content\derived\comparisons\grade-5-vs-stainless-304.md,comparisons,grade-5-vs-stainless-304,0,1,0,0,89,35
src\content\derived\comparisons\grade-5-vs-ti-6242.md,comparisons,grade-5-vs-ti-6242,0,1,0,0,82,35
src\content\derived\comparisons\grade-9-vs-grade-5.md,comparisons,grade-9-vs-grade-5,0,1,0,0,92,35
src\content\derived\comparisons\titanium-vs-aluminum.md,comparisons,titanium-vs-aluminum,0,1,0,0,83,35
src\content\derived\comparisons\titanium-vs-carbon-fiber.md,comparisons,titanium-vs-carbon-fiber,0,1,0,0,94,35
src\content\derived\comparisons\titanium-vs-inconel-718.md,comparisons,titanium-vs-inconel-718,1,1,1,0,347,75
src\content\derived\comparisons\titanium-vs-stainless-316l.md,comparisons,titanium-vs-stainless-316l,0,1,0,0,101,35
src\content\derived\comparisons\vacuum-vs-atmosphere-heat-treat.md,comparisons,vacuum-vs-atmosphere-heat-treat,0,1,0,0,85,35
src\content\derived\comparisons\wire-edm-vs-laser-cutting.md,comparisons,wire-edm-vs-laser-cutting,0,1,0,0,118,35
src\content\derived\procurement\as9100d-documentation.md,procurement,as9100d-documentation,1,0,0,0,0,40
src\content\derived\procurement\cad-file-requirements.md,procurement,cad-file-requirements,1,0,0,0,0,40
src\content\derived\procurement\cmm-inspection.md,procurement,cmm-inspection,1,0,0,0,0,40
src\content\derived\procurement\coa-vs-coc.md,procurement,coa-vs-coc,1,0,0,0,0,40
src\content\derived\procurement\drawing-best-practices.md,procurement,drawing-best-practices,1,0,0,0,0,40
src\content\derived\procurement\export-packaging.md,procurement,export-packaging,1,0,0,0,0,40
src\content\derived\procurement\fai-guide.md,procurement,fai-guide,1,0,0,0,0,40
src\content\derived\procurement\how-to-submit-rfq.md,procurement,how-to-submit-rfq,1,0,0,0,7,40
src\content\derived\procurement\incoterms-guide.md,procurement,incoterms-guide,1,0,0,0,0,40
src\content\derived\procurement\inspection-report-guide.md,procurement,inspection-report-guide,1,0,0,0,0,40
src\content\derived\procurement\material-certification-guide.md,procurement,material-certification-guide,1,0,0,0,31,40
src\content\derived\procurement\mill-test-report-guide.md,procurement,mill-test-report-guide,1,0,0,0,0,40
src\content\derived\procurement\moq-for-titanium-parts.md,procurement,moq-for-titanium-parts,1,0,0,0,29,40
src\content\derived\procurement\payment-terms.md,procurement,payment-terms,1,0,0,0,0,40
src\content\derived\procurement\ppap-for-titanium-parts.md,procurement,ppap-for-titanium-parts,1,0,0,0,0,40
src\content\derived\procurement\production-lead-time.md,procurement,production-lead-time,1,0,0,0,0,40
src\content\derived\procurement\prototype-lead-time.md,procurement,prototype-lead-time,1,0,0,0,0,40
src\content\derived\procurement\rfq-checklist.md,procurement,rfq-checklist,1,0,0,0,26,50
src\content\derived\procurement\risk-management.md,procurement,risk-management,1,0,0,0,0,40
src\content\derived\procurement\supplier-qualification.md,procurement,supplier-qualification,1,0,0,0,0,40
src\content\derived\procurement\titanium-bar-stock-guide.md,procurement,titanium-bar-stock-guide,0,0,0,0,81,20
src\content\derived\procurement\titanium-cnc-lead-time.md,procurement,titanium-cnc-lead-time,1,0,0,0,20,40
src\content\derived\procurement\titanium-forging-guide.md,procurement,titanium-forging-guide,0,0,0,0,98,20
src\content\derived\procurement\titanium-plate-stock-guide.md,procurement,titanium-plate-stock-guide,0,0,0,0,71,20
src\content\derived\procurement\titanium-tube-specifications.md,procurement,titanium-tube-specifications,0,0,0,0,74,20
src\content\derived\guides\anodizing-guide.md,guides,anodizing-guide,0,0,0,0,77,20
src\content\derived\guides\dfm-titanium-guide.md,guides,dfm-titanium-guide,0,0,0,0,96,20
src\content\derived\guides\grade-2-guide.md,guides,grade-2-guide,0,0,0,0,82,20
src\content\derived\guides\grade-23-guide.md,guides,grade-23-guide,0,0,0,0,79,20
src\content\derived\guides\grade-5-guide.md,guides,grade-5-guide,0,0,0,0,90,20
src\content\derived\guides\grade-selection-guide.md,guides,grade-selection-guide,0,0,0,0,92,20
src\content\derived\guides\procurement-guide.md,guides,procurement-guide,0,0,0,0,75,20
src\content\derived\guides\surface-finish-guide.md,guides,surface-finish-guide,0,0,0,0,60,20
src\content\derived\guides\titanium-heat-treatment-guide.md,guides,titanium-heat-treatment-guide,0,0,0,0,74,20
src\content\derived\guides\titanium-machining-cost-reduction.md,guides,titanium-machining-cost-reduction,0,0,0,0,77,20
src\content\derived\guides\welding-titanium-guide.md,guides,welding-titanium-guide,0,0,0,0,81,20
src\content\derived\cases\5-axis-structural-bracket.md,cases,5-axis-structural-bracket,0,0,0,0,0,20
src\content\derived\cases\aerospace-bracket-case.md,cases,aerospace-bracket-case,0,0,0,0,92,20
src\content\derived\cases\aerospace-thin-wall-housing.md,cases,aerospace-thin-wall-housing,0,0,0,0,0,20
src\content\derived\cases\complex-5-axis-titanium-bracket.md,cases,complex-5-axis-titanium-bracket,0,0,0,0,0,20
src\content\derived\cases\grade-23-orthopedic-component.md,cases,grade-23-orthopedic-component,0,0,0,0,0,20
src\content\derived\cases\medical-fixture.md,cases,medical-fixture,0,0,0,0,0,20
src\content\derived\cases\medical-implant-dmls-case.md,cases,medical-implant-dmls-case,0,0,0,0,98,20
src\content\derived\cases\medical-implant-fixture.md,cases,medical-implant-fixture,0,0,0,0,0,20
src\content\derived\cases\medical-instrument-case.md,cases,medical-instrument-case,0,0,0,0,81,20
src\content\derived\cases\oil-gas-downhole-case.md,cases,oil-gas-downhole-case,0,0,0,0,90,20
src\content\derived\cases\orthopedic-component.md,cases,orthopedic-component,0,0,0,0,0,20
src\content\derived\cases\semiconductor-chamber-case.md,cases,semiconductor-chamber-case,0,0,0,0,89,20
src\content\derived\cases\semiconductor-vacuum-component.md,cases,semiconductor-vacuum-component,0,0,0,0,0,20
src\content\derived\cases\thin-wall-aerospace-housing.md,cases,thin-wall-aerospace-housing,0,0,0,0,0,20
src\content\derived\cases\titanium-exhaust-system.md,cases,titanium-exhaust-system,0,0,0,0,98,20
src\content\applications\aerospace-structural.md,applications,aerospace-structural,0,1,0,0,113,35
src\content\applications\industrial-components.md,applications,industrial-components,0,1,0,0,112,35
src\content\applications\medical-implants.md,applications,medical-implants,0,1,0,0,116,35
src\content\applications\semiconductor-vacuum.md,applications,semiconductor-vacuum,0,1,0,0,104,35
src\content\site\blog\getting-started.md,blog,getting-started,0,0,1,0,255,30
src\content\site\blog\seo-multilingual.md,blog,seo-multilingual,0,0,0,0,262,20
src\content\site\blog\welcome.md,blog,welcome,0,0,0,0,30,20
src\content\site\faqs\content.json,faqs,content,0,0,0,0,48,20
src\content\site\faqs\customization.json,faqs,customization,0,0,0,0,50,20
